,(0,550.1, 550.1)
,(2,545.0116699178, 545.0116699177689)
,(4,545.0116699178, 545.0116699177689)
,(6,534.3604558747, 534.360455874717)
,(8,528.8348489364, 528.8348489364042)
,(10,523.2009691265, 523.200969126526)
,(12,515.0323430862, 515.0323430862222)
,(14,509.2582692061, 509.2582692060496)
,(16,501.0324780735, 501.0324780735235)
,(18,501.0324780735, 501.0324780735235)
,(20,489.3707989747, 489.37079897466134)
,(22,483.546546911, 483.54654691101086)
,(24,477.7513638996, 477.75136389962114)
,(26,469.7565385882, 469.7565385881855)
,(28,461.9063315001, 461.9063315001249)
,(30,456.391651246, 456.39165124598856)
,(32,456.391651246, 456.39165124598856)
,(34,445.6970664905, 445.6970664905273)
,(36,438.5283072328, 438.5283072328101)
,(38,431.6204301443, 431.6204301442689)
,(40,426.9115555092, 426.91155550916426)
,(42,422.3943447643, 422.3943447643219)
,(44,422.3943447643, 422.3943447643219)
,(46,422.3943447643, 422.3943447643219)
,(48,408.4641325795, 408.46413257948575)
,(50,403.3139380484, 403.3139380484327)
,(52,401.6391536883, 401.6391536883142)
,(54,400.4673657827, 400.4673657826828)
,(56,400.2747477823, 400.27474778233466)
,(58,400.2747477823, 400.27474778233466)
,(60,400.2747477823, 400.27474778233466)
,(62,387.1895320234, 387.1895320233881)
,(64,385.8529377294, 385.85293772935495)
,(66,383.830534277, 383.830534276968)
,(68,383.2427032963, 383.24270329628393)
,(70,382.9989928337, 382.99899283371656)
,(72,383.1040653094, 383.1040653093779)
,(74,383.1040653094, 383.1040653093779)
,(76,383.1040653094, 383.1040653093779)
,(78,386.5857400968, 386.5857400968457)
,(80,387.9446275633, 387.94462756331484)
,(82,389.662017428, 389.6620174279951)
,(84,391.7377229386, 391.73772293858775)
,(86,394.1706997318, 394.1706997317494)
,(88,397.0462940385, 397.0462940385312)
,(90,400.1, 400.1)
,(92,403.4154521867, 403.41545218673764)
,(94,403.4154521867, 403.41545218673764)
,(96,403.4154521867, 403.41545218673764)
,(98,403.4154521867, 403.41545218673764)
,(100,418.333058655, 418.3330586550277)
